Year,MO,FO,HCan,HAt,HQ,HO,HM,HS,HAl,HBC,HT,YAI,YR,Y%R,YTC,YCC,YCO,YC,YR12,Yad,YR18,YYT,YR27,YYNY,YRYN,NTAI,NTR,N%R,NTTC,NTCC,NTCO,NTC,NTR12,NTAd,NTR18,NTY,NTR27,NTYN,NTRYN,NUAc,NUR,NU%R,NUTC,NUCC,NUCO,NUC,NR12,NURC,NUR18,NUY,NUR27,NUYN,NURYN,NLAI,NLR,NL%R,NLTC,NLCC,NLCO,NC,NR12,NLAd,NLR18,NLY,NLR27,NLYN,NRYN,PIAI,PIR,PI%R,PITC,PICC,PICO,PIC,PIR12,PIAd,PIR18,PIY,PIR27,PIYN,PIRYN,NOAI,NOR,NO%R,NOTC,NOCC,NOCO,NOC,NOR12,NOAd,NOR18,NOY,NOR27,NOYN,NORYN,BRAI,BRR,BR%R,BRTC,BRCC,BRCO,BRC,BRR12,BRAd,BRR18,BRY,BRR27,BRYN,BRRYN,CAI,CR,C%R,CTC,CCC,CCO,CC,CR12,CAd,CR18,CY,CR27,CYN,CRYN,OAI,OR,O%R,OTC,OCC,OCO,OC,OR12,OAd,OR18,OY,OR27,OYN,ORYN,MAI,MR,M%R,MTC,MCC,MCO,MC,MR12,MA,MR18,MY,MR27,MYN,MRYN,Sal,SR,S%R,STC,SCC,SCO,SC,SR12,SA,SR18,SY,SR27,SYN,SRYN,BCAI,BCR,BC%R,BCTC,BCCC,BCCO,BCC,BCR12,BCAd,BCR18,BCY,BCR27,BCYN,BCRYN,,,,,,,,,,,,,,,,,,,,
2010,55787,13281,66,7,14,22,3,1,10,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,55820,13604,68,7,11,23,1,2,12,9,3,7981,22543.92,-2.28,5258,1664,3594,1629,5310.34,1507,5351.18,122,4852.82,404,16070.01,22751,52299.95,1.39,16710,3571,13139,3386,9389.38,3027,9397.12,359,9324.68,1164,30233.77,13488,39443.21,-3.86,11170,2886,8284,2654,10496.76,2396,11207.26,258,6606.91,803,20563.38,37465,7135.69,-5.3,14634,8546,6088,8521,1834.45,7573,1760.84,948,2754.05,1431,4157.23,10500,7289.74,2.09,3516,2077,1439,2077,1647.69,1828,1588.54,249,2267.55,415,3779.26,69357,7343.49,-6.29,32641,19390,13251,19410,2319.27,16715,2163.09,2695,4200.17,3890,6062.59,45809,6063.16,-4.35,20842,13356,7486,13242,1984.15,11487,1865.2,1755,3405.85,2216,4300.49,2275917,6627.06,-5.28,1066428,658522,407906,629943,2107.42,557349,2034,72594,2915.45,94608,3799.55,636172,4796.4,-5.46,300694,213152,87542,209852,1820.06,184060,1747.99,25792,2578.76,29736,2973.09,121719,9865.95,-7.36,60557,33745,26812,33488,3192.22,27949,2948.4,5539,5478.03,4913,4858.92,150574,14120.52,-1.32,89302,53546,35756,53494,5902.7,44058,5357.5,9436,11246.45,7370,8784.06,418763,9307.63,-5.16,154026,74807,79219,75983,1916.78,70264,1925.67,5719,1813.91,12999,4122.94,,,,,,,,,,,,,,,,,,,,
2012,55673,13832,63,4,11,19,9,3,7,8,2,8191,22633.95,0.4,5039,1615,3424,1600,5104.81,1454,5045.63,146,5779.89,340,13460.02,22367,51244.04,-2.02,15742,2867,12875,2800,7762.47,2539,7821.45,261,7231.92,1083,30008.31,14079,40539.61,2.78,11220,3059,8161,2750,10692.07,2481,11339.64,269,7003.38,729,18979.43,36024,6837.04,-4.19,14265,8722,5543,8678,1860.26,7777,1797.39,901,2664.97,1277,3777.1,10678,7351.01,0.84,3812,2329,1483,2247,1765.91,1997,1714.66,250,2319.76,448,4157,67485,7142.52,-2.74,32082,18342,13740,18160,2165.52,15665,2019.18,2495,3973.75,3921,6244.92,47498,6275.86,3.51,20535,13302,7233,12858,1921.59,11412,1844.27,1446,2871.78,2196,4361.3,2244458,6458.6,-2.54,1050701,660653,390048,628614,2077.02,560984,2016.51,67630,2765.35,86893,3553,618486,4612.28,-3.84,294725,208916,85809,205225,1757.53,182609,1707.56,22616,2301.41,27571,2805.63,121815,9742.04,-1.26,61318,35603,25715,35324,3319.98,29717,3084.74,5607,5572.06,4723,4693.57,147209,13539.91,-4.11,88662,54536,34126,54713,5925.82,45995,5477.62,8718,10427.11,6644,7946.51,411975,9069.19,-2.56,146205,73240,72965,73158,1825.56,68034,1840.06,5124,1652.63,12116,3907.74,,,,,,,,,,,,,,,,,,,,
2013,55252,13998,47,5,11,13,1,2,7,5,3,9492,26056.16,15.12,6034,1710,4324,1710,5421.86,1563,5378.34,147,5932.2,438,17675.54,21252,48427.67,-5.5,14964,2735,12229,2603,7189.81,2367,7223.07,236,6872.45,823,23966.22,12271,34629.6,-14.58,9837,2806,7031,2519,9595.46,2268,10108.3,251,6579.29,715,18741.81,35217,6669.67,-2.45,14062,8771,5291,8706,1861.43,7783,1790.74,923,2790.37,1101,3328.5,9498,6530.48,-11.16,3197,2187,1010,2180,1712.54,1937,1656.53,243,2344.43,270,2604.92,60490,6414.7,-10.19,28312,16558,11754,16312,1947.3,14429,1857.66,1883,3089.77,2871,4710.96,41384,5476.12,-12.74,17575,12205,5370,11859,1774.02,10588,1709.11,1271,2595.04,1511,3085.06,2098776,5969.98,-7.57,991939,626019,365920,595717,1945.37,537465,1903.83,58252,2435.68,72146,3016.62,566931,4183.68,-9.29,275834,195657,80177,193206,1635.44,174943,1611.67,18263,1904.53,22184,2313.43,110361,8721.83,-10.47,58454,33474,24980,32851,3049.6,27847,2847.5,5004,5040.29,4326,4357.37,138600,12530.26,-7.46,80965,52952,28013,52989,5647.43,45061,5266.55,7928,9589.12,4994,6040.37,391767,8549,-5.74,141955,69148,72807,68850,1701.62,64430,1721.32,4420,1458.25,10318,3404.13,,,,,,,,,,,,,,,,,,,,
2014,54650,14156,62,2,10,12,9,3,11,14,1,9731,26307.11,0.96,6048,1582,4466,1525,4768.16,1390,4712.34,135,5430.41,492,19790.83,20476,46557.53,-3.86,14206,2595,11611,2462,6801.29,2273,6883.08,189,5950.88,784,24685.14,11768,32613.7,-5.82,9290,2384,6906,2166,8114.49,1999,8707.96,167,4468.83,717,19186.51,32842,6207.51,-6.93,13438,8391,5047,8310,1772.53,7611,1744.07,699,2155.54,978,3015.91,7739,5294.81,-18.92,2735,1892,843,1861,1456.84,1688,1433.73,173,1728.79,216,2158.49,58688,6227.59,-2.92,26721,16380,10341,15878,1895.94,14320,1840.13,1558,2628.65,2360,3981.78,38280,5073.03,-7.36,16455,11422,5033,11127,1666.19,9993,1611.83,1134,2370.9,1452,3035.75,2052925,5775.78,-3.25,952516,607852,344664,578044,1867.02,526495,1839.85,51549,2198.73,64978,2771.52,547570,4003.38,-4.31,264292,189283,75009,185272,1552.31,169045,1537.12,16227,1730.46,20596,2196.37,107589,8403.8,-3.65,56314,32040,24274,30798,2826.46,26437,2666.85,4361,4435.79,4133,4203.88,136028,12120.65,-3.27,77453,52661,24792,52589,5533.06,44881,5170.08,7708,9358.91,4321,5246.48,399707,8617.32,0.8,132880,66038,66842,65555,1599.51,61988,1630.81,3567,1199.53,8632,2902.81,,,,,,,,,,,,,,,,,,,,
2015,54445,14332,,,,,,,,,,9696,25905.74,-1.53,6026,1577,4449,1507,4670.7,1358,4556.44,149,6054.45,647,26290.13,20784,47142.08,1.26,14052,2717,11335,2626,7255.95,2459,7411.76,167,5540.81,660,21897.81,12555,34006.88,4.27,9834,2234,7600,2034,7429.59,1877,7960.81,157,4132.67,710,18689.13,33545,6356.16,2.39,12383,8051,4332,8056,1722.01,7299,1674.94,757,2362.08,881,2749,6849,4676.78,-11.67,2365,1682,683,1635,1278.81,1491,1262.9,144,1470.74,158,1613.73,53193,5640.82,-9.42,24784,15049,9735,14468,1726.49,13199,1691.94,1269,2192.05,2047,3535.96,41597,5517.79,8.77,15845,11384,4461,11025,1651.55,9954,1604.72,1071,2266.14,1198,2534.86,2111021,5888.19,1.95,945130,613102,332028,584092,1870.9,534583,1849.59,49509,2136.78,61240,2643.08,550391,3990.64,-0.32,264707,189947,74760,185175,1537.73,169732,1526.68,15443,1670.58,19863,2148.72,113643,8786.53,4.55,56670,32708,23962,31236,2839.24,26797,2673.34,4439,4539.97,4175,4269.96,144047,12706.62,4.83,77236,52743,24493,52654,5496.84,45417,5185.26,7237,8824.64,4330,5279.91,412078,8799.18,2.11,130226,68969,61257,68131,1645.77,64504,1677.68,3627,1229.81,7409,2512.17,,,,,,,,,,,,,,,,,,,,
