Year,CMO,CFO,CDO,CBSI,CBMD,CB24,CB75,CBP24,CBP75,CMAG,CMSI,CMMD,CM24,CM75,CMP24,CMP75,CFSI,CFMD,CF24,CF75,CFP24,CFP75,NLBSI,NLBMD,NLB24,NLB75,NLBP24,NLB75,NLMAG,NLMSI,NLMMD,NLM24,NLM75,NLMP24,NLMP75,NLFSI,NLFMD,NLF24,NLF75,NLFP24,NLFP75,PIBSI,PIBMD,PIB24,PIB75,PIBP24,PIBP75,PIMAG,PIMSI,PIMMD,PIM24,PIM75,PIMP24,PIMP75,PIFSI,PIFMB,PIF24,PIF75,PIFP24,PIFP75,NOBSI,NOBMD,NOB24,NOB75,NOBP24,NOBP75,NOMAG,NOMSI,NOMMD,NOM24,NOM75,NOMP24,NOMP75,NOFSI,NOFMB,NOF24,NOF75,NOFP24,NOFP75,NBBSI,NBBMD,NBB24,NBB75,NBBP24,NBBP75,NBMAG,NBMSI,NBMMD,NBM24,NBM75,NBMP24,NBMP75,NBFSI,NBFMB,NBF24,NBF75,NBFP24,NBFP75,QBSI,QBMD,QB24,QB75,QBP24,QBP75,QMAG,QMSI,QMMD,QM24,QM75,QMP24,QMP75,QFSI,QFMB,QF24,QF75,QFP24,QFP75,OBSI,OBMD,OB24,OB75,OBP24,OBP75,OMAG,OMSI,OMMD,OM24,OM75,OMP24,OMP75,OFSI,OFMB,OF24,OF75,OFP24,OFP75,MBSI,MBMD,MB24,MB75,MBP24,MBP75,MMAG,MMSI,MMMD,MM24,MM75,MMP24,MMP75,MFSI,MFMB,MF24,MF75,MFP24,MFP75,SBSI,SBMD,SB24,SB75,SBP24,SBP75,SMAG,SMSI,SMMD,SM24,SM75,SMP24,SMP75,SFSI,SFMB,SF24,SF75,SFP24,SFP75,ALBSI,ALBMD,ALB24,ALB75,ALBP24,ALBP75,ALMAG,ALMSI,ALMMD,ALM24,ALM75,ALMP24,ALMP75,ALFSI,ALFMB,ALF24,ALF75,ALFP24,ALFP75,BCBSI,BCBMD,BCB24,BCB75,BCBP24,BCBP75,BCMAG,BCMSI,BCMMD,BCM24,BCM75,BCMP24,BCMP75,BCFSI,NCFMB,NCF24,BCF75,BCFP24,BCFP75,YBSI,YBMD,YB24,YB75,YBP24,YBP75,YMAG,YMSI,YMMD,YM24,YM75,YMP24,YMP75,YFSI,YFMB,YF24,YF75,YFP24,YFP75,NTBSI,NTBMD,NTB24,NTB75,NTBP24,NTBP75,NTMAG,NTMSI,NTMMD,NTM24,NTM75,NTMP24,NTMP75,NTFSI,NTFMB,NTF24,NTF75,NTFP24,NTFP75,NUBSI,NUBMD,NUB24,NUB75,NUBP24,NUBP75,NUMAG,NUMSI,NUMMD,NUM24,NUM75,NUMP24,NUMP75,NUFSI,NUFMB,NUF24,NUF75,NUFP24,NUFP75,CETB,CETM,CETF,NLETB,NLETM,NLETF,NLETB,PIETM,PIETF,NOETB,NOETM,NOETF,NBETB,NBETM,NBETF,QETB,QETM,QETF,OETB,OETM,OETF,METB,METM,METF,SETB,SETM,SETF,ALETB,ALETM,ALETF,BCETB,BCETM,BCETF,YETB,YETM,YETF,NTETB,NTETM,NTETF,NUETB,NUETM,NUETF,CBT,CMT,CFT,CDT,NLBT,NLMT,NLFT,NLDT,PIBT,PIMT,PIFT,PIDT,NOBT,NOMT,NOFT,NODT,NBBT,NBMT,NBFT,NBDT,QBT,QMT,QFT,QDT,OBT,OMT,OFT,ODT,MBT,MMT,MFT,MDT,SBT,SMT,SFT,SDT,ALBT,ALMT,ALFT,ALDT,BCBT,BCMT,BCFT,BCDT,YBT,YMT,YFT,YDT,NTBT,NTMT,NTFT,NTDT,NUBT,NUMT,NUFT,NUDT
2010,55787,13281,42506,14236880,12747920,2026310,2173790,6,7,39,7334820,6375140,1004410,878690,6,6,6902060,6372780,1021910,1295100,6,8,205830,225350,29470,32270,6,6,41,107340,112610,14520,13350,6,5,98490,112740,14950,18920,6,7,58930,58960,8810,9830,6,7,40,30150,29470,4340,3870,7,6,28780,29480,4470,5960,6,8,382650,365010,54960,65810,6,7,41,195630,182350,27020,25930,6,6,187020,182650,27940,39880,6,9,302780,299470,43640,52670,6,7,41,157660,149630,21800,20760,6,6,145120,149840,21840,31910,6,8,3330360,2316960,447550,538200,6,7,40,1727550,1158880,222090,207610,6,6,1602820,1158080,225460,330590,6,8,5479920,5303640,784580,835720,6,7,39,2795790,2652880,389630,340270,6,6,2684130,2650760,394950,495450,6,8,550740,470400,80170,81780,7,7,38,284940,235110,39870,32140,7,6,265800,235300,40310,49640,7,8,470660,407900,70800,75890,7,7,38,245090,203850,35270,30770,7,6,225570,204050,35530,45130,7,9,1598410,1474280,238430,177590,7,5,36,836860,737400,118030,74020,7,4,761550,736880,120390,103570,7,6,1797140,1798550,259920,301950,6,7,40,922980,899290,127840,129010,6,6,874160,899260,132070,172940,6,8,16530,10170,2090,990,7,3,37,8560,5070,1060,460,7,3,7970,5090,1030,530,6,3,22880,11130,3200,810,8,2,32,11980,5550,1600,380,8,2,10900,5580,1600,430,8,2,20070,6100,2690,290,9,1,26,10310,3040,1330,120,8,1,9760,3060,1360,170,9,1,34005274,16847961,17157313,521972,257449,264523,141678,69204,72474,942073,461366,480707,753044,371833,381211,7929365,3931804,3997561,13135063,6452783,6682280,1220930,605597,615333,1051425,525716,525709,3732573,1895322,1837251,4465924,2219698,2246226,34596,17680,16916,43278,22249,21029,33353,17260,16093,32700430,15915100,16785330,-870230,510200,249230,260970,-11740,138610,66880,71730,-4850,900240,433370,466870,-33500,737220,358730,378490,-19760,7717710,3763670,3954040,-190370,12593440,6094540,6498910,-404370,1187700,580200,607500,-27300,1022160,501220,520940,-19720,3544590,1755420,1789170,-33750,4243560,2059040,2184530,-125490,32210,16080,16130,-50,41080,20800,20280,520,31710,15950,15760,190
2011,55820,13604,42216,14416150,12849240,2061230,2222820,6,7,39,7431240,6424930,1023990,905200,6,6,6984920,6424310,1037240,1317620,6,8,206740,225910,29450,33090,6,7,41,107900,112870,14570,13800,6,6,98840,113040,14880,19290,6,7,59070,59170,8890,10020,6,7,40,30190,29570,4340,3990,6,6,28880,29610,4560,6040,6,8,383330,364550,55560,66900,6,7,41,196050,182070,27450,26660,6,6,187280,182480,28110,40240,6,9,302150,298920,43460,53600,6,7,41,157280,149320,21820,21370,6,6,144860,149600,21640,32230,6,9,3365750,2318250,460420,550870,6,7,40,1747380,1159400,228810,214280,6,6,1618370,1158850,231610,336590,6,8,5526970,5343040,793430,856580,6,7,39,2816590,2672260,393930,351210,6,6,2710380,2670780,399500,505370,6,8,559000,475680,82370,82000,7,7,38,289430,237760,41050,32460,7,6,269570,237920,41310,49540,7,8,482110,413920,73080,75860,7,7,38,252110,206850,36680,30930,7,6,230000,207070,36400,44920,7,9,1650840,1506390,243780,182280,7,5,36,866500,753250,121460,76520,7,4,784330,753140,122330,105750,7,6,1819880,1815700,262680,309500,6,7,41,936530,907760,129840,132990,6,6,883350,907940,132840,176510,6,8,16970,10480,2140,1000,6,3,37,8810,5230,1110,460,7,3,8160,5250,1030,540,6,3,22830,11110,3250,830,8,2,33,11970,5540,1610,390,8,2,10860,5560,1650,440,8,2,20530,6130,2730,290,8,1,26,10510,3050,1320,130,8,1,10020,3080,1410,160,9,1,34342780,17015959,17326821,525037,259070,265967,144038,70319,73719,944469,463457,481012,755530,373667,381863,8007656,3973044,4034612,13263544,6513580,6749964,1233728,611948,621780,1066349,534856,531493,3790191,1921123,1869068,4499139,2236756,2262383,35402,18095,17307,43501,22337,21164,34196,17707,16489,33087940,16117200,16970740,-853540,512900,250770,262140,-11370,139420,67330,72090,-4760,902250,434600,467660,-33060,738640,359550,379100,-19550,7792820,3804230,3988590,-184360,12707860,6148440,6559420,-410980,1203690,589010,614670,-25660,1042260,512830,529440,-16610,3644620,1808700,1835920,-27220,4296660,2088020,2208640,-120620,33240,16610,16630,-20,41220,20900,20330,570,32360,16230,16130,100
2012,55673,13832,41841,14573530,12948940,2085710,2268780,6,7,39,7511130,6475020,1037950,930090,6,6,7062400,6473920,1047760,1338690,6,8,207080,225760,29120,33770,6,7,42,108120,112810,14510,14160,6,6,98960,112950,14620,19610,6,8,58630,59190,8840,10180,6,7,41,29940,29570,4390,4120,7,6,28690,29620,4450,6060,6,8,381040,362910,54910,67970,6,8,42,194630,181250,27140,27360,6,6,186420,181660,27770,40610,6,9,300100,298130,42960,54570,6,7,42,155880,148930,21460,21950,6,6,144220,149200,21500,32620,6,9,3396010,2319520,472120,561860,6,7,41,1763570,1160050,234900,220340,6,6,1632440,1159480,237220,341530,6,9,5569180,5376040,800070,877120,6,7,39,2835610,2688940,397560,361970,6,6,2733570,2687110,402510,515150,6,8,564890,480250,83300,82510,7,7,38,292370,240010,41510,32880,7,6,272520,240250,41790,49630,7,8,490370,420850,73540,75670,7,7,38,256190,210330,36910,30900,7,6,234190,210520,36630,44770,7,8,1717230,1549690,250680,186820,7,5,36,903600,775010,125430,78850,7,4,813630,774680,125260,107980,7,6,1828090,1828730,262130,316050,6,7,41,939740,914240,130120,136510,6,7,888350,914490,132000,179540,6,8,17130,10470,2140,1090,6,3,37,8880,5220,1120,510,7,3,8250,5240,1020,570,6,3,22910,11150,3190,870,8,2,33,11980,5550,1580,410,8,2,10930,5600,1620,460,8,2,20890,6250,2700,300,8,1,26,10640,3120,1320,140,8,1,10250,3130,1380,160,8,1,34751476,17225198,17526278,526895,259885,267010,145259,70873,74386,944835,463616,481219,756836,374408,382428,8084768,4013825,4070943,13409558,6586653,6822905,1250406,620685,629721,1087223,546589,540634,3888552,1972434,1916118,4542578,2257406,2285172,36189,18480,17709,43648,22372,21276,34729,17972,16757,33399630,16275110,17124520,-849410,513500,251070,262430,-11360,139020,67060,71960,-4900,898330,432560,465770,-33210,736420,358040,378380,-20340,7848370,3833780,4014590,-180810,12796300,6190660,6605630,-414970,1215110,594860,620250,-25390,1058700,521170,537530,-16360,3765200,1872750,1892450,-19700,4321100,2099160,2221940,-122780,33420,16680,16740,-60,41130,20790,20340,450,33030,16520,16510,10
2013,55252,13998,41254,14749470,13053370,2103860,2324870,6,7,40,7605360,6527180,1049690,960300,6,6,7144110,6526190,1054170,1364570,6,8,207310,225990,28650,34570,6,7,42,108220,112930,14240,14630,6,6,99090,113060,14400,19950,6,8,58480,59020,8650,10340,6,7,41,29820,29480,4300,4200,6,6,28660,29540,4350,6140,6,9,381010,361150,54470,69400,6,8,42,194500,180420,26770,28200,6,7,186510,180730,27700,41200,6,9,298560,296410,41870,55760,6,8,42,154990,148050,20880,22730,6,6,143570,148360,20990,33030,6,9,3420020,2316210,478530,576160,6,7,41,1776600,1158440,238350,228350,6,6,1643420,1157770,240180,347810,6,9,5623700,5409690,805890,900430,6,7,40,2863660,2705620,401400,373860,6,6,2760040,2704070,404490,526570,6,8,571780,484480,84400,83260,7,7,38,295990,242150,42240,33480,7,6,275790,242320,42160,49780,7,8,497220,426060,73300,75630,7,7,38,259890,212970,36850,31020,7,6,237330,213090,36450,44610,7,8,1779830,1597430,256790,191730,7,5,36,937970,798860,129500,81420,7,4,841870,798570,127300,110310,7,6,1850260,1848920,263380,325230,6,7,41,952080,924300,131190,141290,6,7,898170,924620,132200,183950,6,8,17150,10630,2070,1140,6,3,38,8820,5300,1080,540,6,3,8330,5330,1000,600,6,4,22870,11180,3170,900,8,2,33,11950,5570,1600,430,8,2,10930,5610,1580,480,8,2,21290,6220,2690,320,8,1,26,10890,3100,1300,150,8,1,10400,3120,1380,170,8,1,35155499,17430739,17724760,528017,260340,267677,145441,70794,74647,942991,462446,480545,755718,373587,382131,8154761,4050085,4104676,13551004,6655826,6895178,1265342,628587,636755,1106122,557064,549058,4007748,2036296,1971452,4582607,2276341,2306266,36429,18584,17845,43884,22447,21437,35435,18342,17093,33784140,16475000,17309140,-834140,515080,251950,263130,-11180,138920,66980,71940,-4960,898170,432430,465750,-33320,734470,357100,377370,-20270,7904880,3864260,4040620,-176360,12912940,6249350,6663600,-414250,1227940,601690,626240,-24550,1073430,529170,544260,-15090,3891740,1939070,1952670,-13600,4377850,2128480,2249380,-120900,33680,16760,16920,-160,41350,20880,20470,410,33690,16890,16800,90
2014,54650,14156,40494,14922630,13163280,2112200,2381640,6,7,40,7697830,6581720,1056450,990410,6,6,7224810,6581560,1055750,1391240,6,8,208650,226490,28240,35500,6,7,42,109050,113170,14120,15170,6,6,99610,113330,14130,20340,5,8,58720,59240,8520,10520,6,8,41,29860,29600,4190,4340,6,6,28860,29640,4330,6190,6,9,381540,360140,53570,70770,6,8,42,194740,179860,26380,29000,6,7,186810,180280,27190,41770,6,9,299360,295600,41610,56940,6,8,42,155540,147650,20740,23450,6,7,143820,147950,20870,33490,6,9,3448690,2311820,478340,591030,6,7,41,1792600,1156210,238280,236220,6,6,1656080,1155620,240060,354810,6,9,5681420,5449970,812420,924400,6,7,40,2894770,2725470,406260,385980,6,6,2786650,2724510,406160,538420,6,8,578420,489190,84900,83540,7,7,38,299650,244520,42580,33750,7,6,278770,244670,42320,49790,7,8,503860,430690,72080,75660,7,7,38,263010,215270,36120,31180,7,6,240850,215420,35960,44480,7,8,1822880,1637860,258290,196850,7,5,36,960740,819040,130690,84080,7,4,862140,818830,127600,112760,6,6,1876930,1873990,266350,333980,6,8,41,965750,936870,133130,146080,6,7,911180,937120,133220,187900,6,8,17270,10810,2020,1190,6,4,38,8930,5380,1030,570,6,3,8350,5430,990,620,6,4,23130,11250,3100,940,7,2,33,12070,5590,1570,440,8,2,11060,5660,1530,500,7,2,21750,6210,2770,330,8,1,26,11120,3100,1360,150,8,1,10630,3120,1410,190,8,1,35543658,17626354,17917304,529069,260922,268147,146162,71250,74912,942387,461872,480515,754578,372960,381618,8214885,4080910,4133975,13677687,6717164,6960523,1280242,636233,644009,1122283,566040,556243,4120897,2095874,2025023,4638415,2303157,2335258,36990,18838,18152,43980,22469,21511,36083,18665,17418,34164940,16671910,17493040,-821130,517560,253410,264150,-10740,139810,67380,72420,-5040,898890,432930,465960,-33030,736080,358190,377890,-19700,7960870,3894630,4066240,-171610,13040270,6315200,6725080,-409880,1240970,608650,632320,-23670,1086200,535550,550650,-15100,3991300,1989840,2001460,-11620,4442710,2160820,2281900,-121080,34140,16990,17160,-170,41730,21060,20680,380,34410,17270,17140,130
2015,54445,14332,40113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35851774,17776719,18075055,527756,260141,267615,146447,71333,75114,943002,461969,481033,753871,372394,381477,8263600,4105520,4158080,13792052,6773616,7018436,1293378,642866,650512,1133637,571807,561830,4196457,2132266,2064191,4683139,2324277,2358862,37428,18985,18443,44088,22499,21589,36919,19046,17873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
