,C,NL,PI,NO,NB,Q,O,M,S,AL,BC,Y,NT,NU
G,9387,127,42,242,219,2359,3633,274,253,1002,1215,7,9,6
A,4814,89,19,164,95,919,1821,228,182,569,709,7,7,6
