Male,1,,,,,,,,,,,,,
,C,NL,PI,NO,NB,Q,O,M,S,AL,BC,Y,NT,NU
G,8853,112,36,214,189,2279,3433,273,227,970,1100,8,8,5
A,5235,95,23,165,116,994,1919,222,207,677,794,7,9,7
