Male4,C,NL,PI,NO,NB,Q,O,M,S,AL,BC,Y,NT,NU
G,7958,125,35,202,178,1976,2974,255,233,948,1012,7,7,5
A,5188,75,20,159,115,1073,1937,198,176,638,775,7,9,7
