Names,Sex ,GoodNumber,GoodPercent,AverageNumber,AveragePercent,SurveyNumber
Manitoba,Female,317,60.8,180,34.5,Survey5
Saskatchewan,Female,274,61.7,153,34.5,Survey5
Alberta,Female,1054,64.7,505,31,Survey5
British Columbia,Female,1281,63.4,619,30.7,Survey5
Yukon,Female,8,54.8,6,39.6,Survey5
Northwest Territories,Female,9,56.3,7,40.3,Survey5
Nunavut,Female,7,55.4,4,35.5,Survey5
Newfoundland and Labrador,Male,138,66.1,62,29.8,Survey6
Prince Edward Island,Male,43,73.6,14,23.4,Survey6
Nova Scotia,Male,241,62.8,120,31.3,Survey6
New Brunswick,Male,211,68.4,87,28.4,Survey6
Quebec,Male,2305,68.4,842,25,Survey6
Ontario,Male,3395,60.7,1668,29.8,Survey6
Manitoba,Male,307,59.4,171,33.2,Survey6
Saskatchewan,Male,266,59.8,162,36.3,Survey6
Alberta,Male,1002,59,592,34.9,Survey6
British Columbia,Male,1153,58.8,670,34.2,Survey6
Yukon,Male,8,54.4,6,39.5,Survey6
Northwest Territories,Male,10,55.3,7,41,Survey6
Nunavut,Male,7,54,6,43.8,Survey6
Newfoundland and Labrador,Female,146,66.3,60,27.1,Survey6
Prince Edward Island,Female,45,71.6,14,22.8,Survey6
Nova Scotia,Female,260,63,128,31,Survey6
New Brunswick,Female,223,69,79,24.5,Survey6
Quebec,Female,2339,68.3,733,21.4,Survey6
Ontario,Female,3352,57.5,1710,29.4,Survey6
Manitoba,Female,295,56.5,179,34.2,Survey6
Saskatchewan,Female,262,59.1,154,34.6,Survey6
Alberta,Female,1029,63.2,475,29.2,Survey6
British Columbia,Female,1204,59.6,598,29.6,Survey6
Yukon,Female,7,45.5,7,45.6,Survey6
Northwest Territories,Female,8,51.6,7,44.1,Survey6
Nunavut,Female,6,51.1,5,40.7,Survey6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
