Year,MO,FO,DO,HC,HAT,HQ,HO,HM,HS,HAL,HBC,HT,YAI,NTAI,NUAI,NLAI,PIAI,NOAI,BRAI,OAI,MAI,SAI,BCAI,YR,NTR,NUR,NLR,PIR,NOR,BRR,OR,MR,SR,BCR,YTC,NTTC,NUTC,NLTC,PITC,NOTC,BRTC,OTC,MTC,STC,BCTC,YCC,NTCC,NUCC,NLCC,PICC,NOCC,BRCC,OCC,MCC,SCC,BCCC,YCO,NTCO,NUCO,NLCO,PICO,NOCO,BRCO,OCO,MCO,SCO,BCCO,YC,NTC,NUC,NLC,PIC,NOC,BRC,OC,MC,SC,BCC,YR12,NTR12,NUR12,NLR12,PIR12,NOR12,BRR12,OR12,MR12,SR12,BCR12,YAD,NTAD,NUAD,NLAD,PIAD,NOAD,BRAD,OAD,MAD,SAD,BCAD,YR18,NTR18,NUR18,NLR18,PIR18,NOR18,BRR18,OR18,MR18,SR18,BCR18,YYT,NTYT,NUYT,NLYT,PIYT,NOYT,BRYT,OYT,MYT,SYT,BCYT,YR27,NTR27,NUR27,NLR27,PIR27,NOR27,BRR27,OR27,MR27,SR27,BCR27,YYN,NTYN,NUYN,NLYN,PIYN,NOYN,BRYN,OYN,MYN,SYN,BCYN,YRYN,NTRYN,NURYN,NRYN,PIRYN,NORYN,BRRYN,ORYN,MRYN,SRYN,BCRYN
2010,55787,13281,42506,66,7,14,22,3,1,10,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,55820,13604,42216,68,7,11,23,1,2,12,9,3,7981,22751,13488,37465,10500,69357,45809,636172,121719,150574,418763,22543.92,52299.95,39443.21,7135.69,7289.74,7343.49,6063.16,4796.4,9865.95,14120.52,9307.63,5258,16710,11170,14634,3516,32641,20842,300694,60557,89302,154026,1664,3571,2886,8546,2077,19390,13356,213152,33745,53546,74807,3594,13139,8284,6088,1439,13251,7486,87542,26812,35756,79219,1629,3386,2654,8521,2077,19410,13242,209852,33488,53494,75983,5310.34,9389.38,10496.76,1834.45,1647.69,2319.27,1984.15,1820.06,3192.22,5902.7,1916.78,1507,3027,2396,7573,1828,16715,11487,184060,27949,44058,70264,5351.18,9397.12,11207.26,1760.84,1588.54,2163.09,1865.2,1747.99,2948.4,5357.5,1925.67,122,359,258,948,249,2695,1755,25792,5539,9436,5719,4852.82,9324.68,6606.91,2754.05,2267.55,4200.17,3405.85,2578.76,5478.03,11246.45,1813.91,404,1164,803,1431,415,3890,2216,29736,4913,7370,12999,16070.01,30233.77,20563.38,4157.23,3779.26,6062.59,4300.49,2973.09,4858.92,8784.06,4122.94
2012,55673,13832,41841,63,4,11,19,9,3,7,8,2,8191,22367,14079,36024,10678,67485,47498,618486,121815,147209,411975,22633.95,51244.04,40539.61,6837.04,7351.01,7142.52,6275.86,4612.28,9742.04,13539.91,9069.19,5039,15742,11220,14265,3812,32082,20535,294725,61318,88662,146205,1615,2867,3059,8722,2329,18342,13302,208916,35603,54536,73240,3424,12875,8161,5543,1483,13740,7233,85809,25715,34126,72965,1600,2800,2750,8678,2247,18160,12858,205225,35324,54713,73158,5104.81,7762.47,10692.07,1860.26,1765.91,2165.52,1921.59,1757.53,3319.98,5925.82,1825.56,1454,2539,2481,7777,1997,15665,11412,182609,29717,45995,68034,5045.63,7821.45,11339.64,1797.39,1714.66,2019.18,1844.27,1707.56,3084.74,5477.62,1840.06,146,261,269,901,250,2495,1446,22616,5607,8718,5124,5779.89,7231.92,7003.38,2664.97,2319.76,3973.75,2871.78,2301.41,5572.06,10427.11,1652.63,340,1083,729,1277,448,3921,2196,27571,4723,6644,12116,13460.02,30008.31,18979.43,3777.1,4157,6244.92,4361.3,2805.63,4693.57,7946.51,3907.74
2013,55252,13998,41254,47,5,11,13,1,2,7,5,3,9492,21252,12271,35217,9498,60490,41384,566931,110361,138600,391767,26056.16,48427.67,34629.6,6669.67,6530.48,6414.7,5476.12,4183.68,8721.83,12530.26,8549,6034,14964,9837,14062,3197,28312,17575,275834,58454,80965,141955,1710,2735,2806,8771,2187,16558,12205,195657,33474,52952,69148,4324,12229,7031,5291,1010,11754,5370,80177,24980,28013,72807,1710,2603,2519,8706,2180,16312,11859,193206,32851,52989,68850,5421.86,7189.81,9595.46,1861.43,1712.54,1947.3,1774.02,1635.44,3049.6,5647.43,1701.62,1563,2367,2268,7783,1937,14429,10588,174943,27847,45061,64430,5378.34,7223.07,10108.3,1790.74,1656.53,1857.66,1709.11,1611.67,2847.5,5266.55,1721.32,147,236,251,923,243,1883,1271,18263,5004,7928,4420,5932.2,6872.45,6579.29,2790.37,2344.43,3089.77,2595.04,1904.53,5040.29,9589.12,1458.25,438,823,715,1101,270,2871,1511,22184,4326,4994,10318,17675.54,23966.22,18741.81,3328.5,2604.92,4710.96,3085.06,2313.43,4357.37,6040.37,3404.13
2014,54650,14156,40494,62,2,10,12,9,3,11,14,1,9731,20476,11768,32842,7739,58688,38280,547570,107589,136028,399707,26307.11,46557.53,32613.7,6207.51,5294.81,6227.59,5073.03,4003.38,8403.8,12120.65,8617.32,6048,14206,9290,13438,2735,26721,16455,264292,56314,77453,132880,1582,2595,2384,8391,1892,16380,11422,189283,32040,52661,66038,4466,11611,6906,5047,843,10341,5033,75009,24274,24792,66842,1525,2462,2166,8310,1861,15878,11127,185272,30798,52589,65555,4768.16,6801.29,8114.49,1772.53,1456.84,1895.94,1666.19,1552.31,2826.46,5533.06,1599.51,1390,2273,1999,7611,1688,14320,9993,169045,26437,44881,61988,4712.34,6883.08,8707.96,1744.07,1433.73,1840.13,1611.83,1537.12,2666.85,5170.08,1630.81,135,189,167,699,173,1558,1134,16227,4361,7708,3567,5430.41,5950.88,4468.83,2155.54,1728.79,2628.65,2370.9,1730.46,4435.79,9358.91,1199.53,492,784,717,978,216,2360,1452,20596,4133,4321,8632,19790.83,24685.14,19186.51,3015.91,2158.49,3981.78,3035.75,2196.37,4203.88,5246.48,2902.81
2015,54445,14332,40113,,,,,,,,,,9696,20784,12555,33545,6849,53193,41597,550391,113643,144047,412078,25905.74,47142.08,34006.88,6356.16,4676.78,5640.82,5517.79,3990.64,8786.53,12706.62,8799.18,6026,14052,9834,12383,2365,24784,15845,264707,56670,77236,130226,1577,2717,2234,8051,1682,15049,11384,189947,32708,52743,68969,4449,11335,7600,4332,683,9735,4461,74760,23962,24493,61257,1507,2626,2034,8056,1635,14468,11025,185175,31236,52654,68131,4670.7,7255.95,7429.59,1722.01,1278.81,1726.49,1651.55,1537.73,2839.24,5496.84,1645.77,1358,2459,1877,7299,1491,13199,9954,169732,26797,45417,64504,4556.44,7411.76,7960.81,1674.94,1262.9,1691.94,1604.72,1526.68,2673.34,5185.26,1677.68,149,167,157,757,144,1269,1071,15443,4439,7237,3627,6054.45,5540.81,4132.67,2362.08,1470.74,2192.05,2266.14,1670.58,4539.97,8824.64,1229.81,647,660,710,881,158,2047,1198,19863,4175,4330,7409,26290.13,21897.81,18689.13,2749,1613.73,3535.96,2534.86,2148.72,4269.96,5279.91,2512.17
